时间,问题,正确效果,状况
2025-05-16,文件备份-删除记录后没删除对应的备份文件,对应的备份文件应该被删除,已修复
2025-08-23,新建文本文件保存后乱码,正确处理文件的保存,已修复
2025-08-24,csv文件查看器表头处理不对,查看器应该交给用户来选择是否以第一行作为表头,
2025-10-05,剪贴板在复制长文本时，剪切项下方会出现大片空白,理论上不应该出现大段空白,未复现
2025-10-05,电脑意外关机时，剪切板数据有概率没被保存,,剪切板是增量保存模式，意外关机会导致保存机制没触发
2025-10-07,文件标签被删除后，文件系统的标签标识还在,标识要随标签的删除而删除,已修复
2025-10-12,不断点击更多功能，会一直弹出窗口,复用原本弹出的窗口,已修复
2025-10-12,备忘标签里修改标签类型，会复制出另一份记录数据,修改后保存应该作用于原标签,已修复
2025-11-06,PDF模块按下一页后再按上一页，回不到第一页了,,QtPDFbug，已修复
2025-11-13,剪切板在筛选功能下，复制不是该分类下的内容时同样会显示到界面上,,已修复
2025-11-30,文件备份，在服务器没有开启的情况下，文件选择提交至云端，也会提示提交成功,,未复现，但失败信息已补充成用户友好的
2025-12-24,文件路径面包屑组件输入空路径会闪退,,已修复
2026-01-04,打开某些文本文件会乱码，可能需要加编码方式选择功能,,已增加
2026-01-29,xlsx文件保存有问题，点击保存后，只剩第一个表了,,已修复
2026-01-29,csv查看下，使用查找功能并且关掉窗口后，这个文件会变成未保存状态,,已修复
2026-02-03,备忘标签的“在文件系统打开”没有改变面包屑路径,,已修复
2026-02-07,剪切板先在查找文字后的状态下去复制内容，然后删掉全部文字（即撤回查找状态），此时刚刚复制的内容会在剪切板最下面而不是最上面,,已修复
2026-03-03,查找所有操作好像会吞掉字符,,
2026-03-07,在选择不受支持的文件，在提示窗口取消打开的话，又弹出一个“不支持的文件类型"弹窗,,已修复
2026-03-07,选择不受支持的文件后，在提示窗口取消打开文件的话，又弹出一个“不支持的文件类型“弹窗,,已修复
2026-03-07,文字查找功能对中文的支持很差,,
2026-03-12,用截图工具截图后剪切板会有两条剪切记录,,添加了去重逻辑
2026-03-12,剪切板图片预览窗口大小没适配图像大小,,已完善
2026-03-12,程序有时候会导致截取的图片文件损坏,,未复现
2026-03-18,面包屑组件输入文件路径（即错误路径）后，没有回退到原路径,,
2026-03-19,Ubuntu面板屑组件遇到两个连续同名的文件夹，路径会无限延申,,
2026-03-25,改编码会触发文件成未保存状态，但是此时点击x号没提示是否保存再退出,改编码方式保持不触发文件成未保存状态,已修复
2026-03-28,Ubuntu-登录窗口-隐私政策与忘记密码按钮是黑的，看不见内容,,
2026-03-28,文件打开器打开文件错误时，依然弹出页签,打开文件错误就不要弹出页签了,
2026-05-11,文件系统打不开隐藏目录,面包屑组件跟文件树都应该能看到并选择隐藏的文件夹,已修复
